(0, 2, 4, 8, 1, 6, 10, 12, 14, 3, 5, 9, 7, 11, 13, 15): [[654, 767, 740, 720], [671, 902]]
(0, 2, 4, 6, 8, 10, 12, 14, 1, 3, 5, 7, 9, 11, 13, 15): [[884, 472, 145, 71], [993, 781]]
(0, 2, 4, 8, 6, 10, 1, 12, 14, 3, 5, 9, 7, 11, 13, 15): [[214, 955, 692, 598], [17, 130]]
(0, 1, 2, 3, 4, 6, 5, 7, 8, 10, 9, 12, 11, 14, 13, 15): [[369, 754, 326, 97], [953, 248]]
(0, 2, 1, 3, 4, 8, 6, 10, 5, 12, 9, 14, 7, 11, 13, 15): [[361, 946, 894, 192], [583, 423]]
(0, 2, 4, 8, 1, 6, 10, 12, 3, 14, 5, 9, 7, 11, 13, 15): [[538, 986, 959, 440], [271, 500]]
(0, 1, 2, 4, 8, 3, 5, 6, 9, 10, 12, 14, 7, 11, 13, 15): [[764, 883, 861, 693], [994, 415]]
(0, 2, 4, 6, 1, 8, 10, 3, 12, 14, 5, 7, 9, 11, 13, 15): [[610, 821, 537, 207], [468, 625]]
(0, 2, 1, 3, 4, 6, 8, 10, 12, 14, 5, 7, 9, 11, 13, 15): [[133, 689, 664, 17], [313, 735]]
(0, 2, 4, 1, 8, 6, 10, 3, 12, 5, 14, 9, 7, 11, 13, 15): [[980, 792, 560, 406], [976, 645]]
(0, 2, 4, 6, 1, 3, 5, 7, 8, 10, 12, 14, 9, 11, 13, 15): [[767, 968, 98, 62], [194, 77]]
(0, 2, 4, 8, 6, 10, 12, 14, 1, 3, 5, 9, 7, 11, 13, 15): [[908, 873, 759, 584], [56, 496]]
(0, 2, 4, 8, 6, 10, 12, 1, 14, 3, 5, 9, 7, 11, 13, 15): [[959, 832, 700, 657], [251, 513]]
(0, 1, 2, 4, 3, 6, 5, 8, 10, 12, 7, 9, 14, 11, 13, 15): [[68, 938, 484, 311], [181, 135]]
(0, 2, 4, 1, 8, 6, 10, 12, 3, 5, 9, 14, 7, 11, 13, 15): [[985, 778, 658, 583], [917, 632]]
(0, 2, 4, 6, 8, 10, 1, 3, 12, 14, 5, 7, 9, 11, 13, 15): [[234, 551, 192, 6], [128, 393]]
(0, 1, 2, 4, 8, 3, 6, 5, 10, 12, 9, 14, 7, 11, 13, 15): [[524, 881, 748, 688], [113, 67]]
(0, 1, 2, 4, 6, 8, 3, 10, 12, 5, 14, 7, 9, 11, 13, 15): [[86, 677, 281, 250], [320, 641]]
(0, 2, 4, 6, 1, 8, 3, 10, 12, 14, 5, 7, 9, 11, 13, 15): [[928, 847, 519, 119], [598, 464]]
(0, 2, 4, 6, 8, 1, 10, 12, 3, 14, 5, 7, 9, 11, 13, 15): [[799, 948, 441, 241], [488, 610]]
(0, 1, 2, 3, 4, 8, 5, 9, 6, 10, 7, 11, 12, 13, 14, 15): [[253, 575, 545, 411], [851, 35]]
(0, 1, 2, 3, 4, 5, 8, 9, 6, 7, 10, 11, 12, 13, 14, 15): [[530, 872, 606, 314], [936, 23]]
(0, 2, 4, 6, 8, 10, 1, 12, 14, 3, 5, 7, 9, 11, 13, 15): [[926, 894, 118, 78], [930, 993]]
(0, 1, 2, 4, 8, 3, 6, 10, 5, 12, 14, 9, 7, 11, 13, 15): [[369, 983, 705, 424], [888, 742]]
(0, 1, 2, 4, 3, 5, 8, 6, 9, 10, 7, 12, 11, 13, 14, 15): [[618, 689, 473, 371], [882, 141]]
(0, 2, 4, 1, 8, 6, 10, 3, 12, 14, 5, 9, 7, 11, 13, 15): [[596, 574, 449, 212], [718, 641]]
(0, 2, 1, 4, 8, 6, 3, 10, 12, 5, 9, 14, 7, 11, 13, 15): [[912, 983, 793, 450], [830, 511]]
(0, 2, 4, 1, 8, 6, 10, 12, 3, 14, 5, 9, 7, 11, 13, 15): [[981, 984, 725, 647], [609, 599]]
(0, 2, 4, 8, 6, 1, 10, 12, 14, 3, 5, 9, 7, 11, 13, 15): [[749, 761, 504, 500], [476, 676]]
(0, 2, 1, 3, 4, 8, 6, 10, 5, 12, 9, 7, 14, 11, 13, 15): [[450, 930, 802, 140], [877, 514]]
(0, 1, 2, 4, 8, 3, 5, 9, 6, 10, 12, 7, 11, 13, 14, 15): [[424, 869, 854, 714], [964, 198]]
(0, 1, 2, 4, 3, 8, 6, 5, 10, 9, 12, 7, 14, 11, 13, 15): [[215, 707, 494, 293], [918, 449]]
(0, 2, 4, 8, 6, 1, 10, 12, 3, 14, 5, 9, 7, 11, 13, 15): [[889, 712, 521, 266], [608, 629]]
(0, 1, 2, 4, 8, 6, 10, 12, 3, 5, 9, 14, 7, 11, 13, 15): [[453, 784, 718, 654], [418, 343]]
(0, 1, 2, 3, 4, 6, 8, 5, 10, 7, 12, 9, 14, 11, 13, 15): [[569, 952, 634, 248], [994, 432]]
(0, 1, 2, 3, 4, 6, 8, 10, 5, 7, 9, 11, 12, 14, 13, 15): [[22, 935, 760, 98], [530, 222]]
(0, 2, 1, 4, 6, 8, 3, 10, 12, 5, 14, 7, 9, 11, 13, 15): [[356, 710, 374, 180], [743, 751]]
(0, 2, 1, 3, 4, 8, 6, 10, 12, 14, 5, 9, 7, 11, 13, 15): [[930, 712, 696, 59], [646, 330]]
(0, 1, 2, 4, 8, 3, 5, 6, 9, 10, 12, 7, 14, 11, 13, 15): [[887, 931, 885, 671], [417, 152]]
(0, 1, 2, 4, 3, 6, 8, 5, 10, 12, 7, 9, 14, 11, 13, 15): [[305, 919, 554, 304], [853, 577]]
(0, 1, 2, 3, 4, 8, 6, 10, 5, 9, 12, 7, 14, 11, 13, 15): [[17, 855, 758, 332], [719, 535]]
(0, 1, 2, 4, 8, 3, 6, 10, 5, 12, 9, 14, 7, 11, 13, 15): [[32, 219, 206, 117], [956, 860]]
(0, 1, 2, 4, 3, 8, 6, 10, 5, 9, 12, 7, 14, 11, 13, 15): [[405, 918, 713, 348], [966, 497]]
(0, 1, 2, 4, 3, 5, 6, 7, 8, 9, 10, 12, 11, 13, 14, 15): [[682, 743, 142, 104], [739, 46]]
(0, 2, 4, 6, 8, 10, 12, 1, 14, 3, 5, 7, 9, 11, 13, 15): [[276, 894, 522, 157], [115, 649]]
(0, 1, 2, 4, 8, 3, 6, 5, 10, 12, 9, 7, 14, 11, 13, 15): [[735, 795, 543, 385], [710, 302]]
