(0, 2, 4, 8, 6, 12, 10, 14, 1, 3, 5, 9, 7, 13, 11, 15): [[788, 670, 464], [426, 190], [251, 664]]
(0, 4, 8, 12, 2, 6, 1, 5, 10, 14, 9, 13, 3, 7, 11, 15): [[821, 660, 53], [493, 810], [176, 564]]
(0, 4, 2, 8, 12, 6, 1, 5, 10, 14, 3, 9, 13, 7, 11, 15): [[977, 864, 64], [803, 670], [194, 423]]
(0, 1, 4, 5, 8, 2, 12, 9, 3, 13, 6, 7, 10, 14, 11, 15): [[184, 429, 239], [308, 892], [862, 385]]
(0, 2, 1, 4, 3, 6, 5, 8, 12, 7, 10, 9, 14, 13, 11, 15): [[443, 905, 314], [929, 464], [286, 154]]
(0, 2, 1, 3, 4, 6, 8, 10, 12, 14, 5, 7, 9, 11, 13, 15): [[219, 690, 662], [513, 9], [483, 827]]
(0, 2, 4, 6, 1, 8, 12, 3, 10, 14, 5, 7, 9, 13, 11, 15): [[30, 893, 174], [879, 652], [38, 860]]
(0, 4, 8, 12, 1, 5, 9, 13, 2, 6, 10, 14, 3, 7, 11, 15): [[735, 932, 125], [37, 527], [200, 331]]
(0, 2, 4, 1, 6, 3, 8, 12, 10, 5, 14, 7, 9, 13, 11, 15): [[34, 675, 165], [966, 830], [149, 960]]
(0, 4, 8, 12, 1, 2, 5, 9, 13, 6, 10, 14, 3, 7, 11, 15): [[735, 516, 514], [217, 640], [228, 331]]
(0, 4, 2, 6, 1, 8, 12, 5, 3, 10, 14, 7, 9, 13, 11, 15): [[542, 970, 210], [528, 369], [582, 914]]
(0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 12, 13, 10, 11, 14, 15): [[684, 847, 399], [519, 197], [492, 46]]
(0, 1, 4, 2, 5, 3, 6, 8, 12, 7, 9, 13, 10, 14, 11, 15): [[198, 910, 222], [469, 628], [606, 327]]
(0, 2, 4, 1, 8, 6, 12, 3, 10, 5, 14, 9, 7, 13, 11, 15): [[336, 851, 513], [555, 437], [162, 330]]
(0, 2, 4, 1, 6, 3, 5, 8, 12, 7, 10, 9, 14, 13, 11, 15): [[650, 827, 262], [384, 136], [938, 477]]
(0, 4, 8, 2, 12, 6, 10, 14, 1, 5, 9, 3, 13, 7, 11, 15): [[921, 172, 100], [953, 264], [637, 963]]
(0, 1, 2, 3, 4, 5, 8, 9, 12, 13, 6, 7, 10, 11, 14, 15): [[721, 863, 700], [712, 500], [826, 12]]
(0, 2, 4, 6, 8, 12, 10, 14, 1, 3, 5, 7, 9, 13, 11, 15): [[130, 821, 96], [915, 327], [22, 313]]
(0, 4, 1, 5, 2, 8, 12, 6, 3, 9, 13, 7, 10, 14, 11, 15): [[362, 557, 18], [102, 152], [735, 554]]
