(0, 4, 2, 6, 1, 5, 3, 7, 8, 12, 10, 14, 9, 13, 11, 15): [[365, 976], [627, 40], [964, 565], [665, 526]]
(0, 1, 2, 8, 4, 3, 9, 10, 5, 6, 12, 11, 7, 13, 14, 15): [[142, 185], [355, 923], [773, 932], [294, 277]]
(0, 2, 4, 6, 8, 10, 12, 14, 1, 3, 5, 7, 9, 11, 13, 15): [[318, 528], [912, 374], [719, 152], [36, 881]]
(0, 2, 4, 1, 8, 6, 3, 5, 10, 12, 9, 7, 14, 11, 13, 15): [[411, 598], [315, 197], [823, 487], [391, 304]]
(0, 2, 4, 1, 6, 3, 5, 7, 8, 10, 12, 9, 14, 11, 13, 15): [[73, 549], [157, 54], [983, 108], [994, 463]]
(0, 2, 8, 1, 10, 3, 4, 9, 6, 11, 12, 5, 14, 7, 13, 15): [[468, 370], [384, 853], [960, 370], [553, 673]]
(0, 1, 8, 2, 9, 4, 3, 5, 10, 12, 11, 6, 13, 7, 14, 15): [[828, 367], [767, 673], [905, 673], [333, 97]]
(0, 4, 2, 8, 6, 12, 10, 14, 1, 5, 3, 9, 7, 13, 11, 15): [[453, 539], [788, 439], [810, 645], [67, 961]]
(0, 4, 2, 8, 1, 6, 12, 10, 5, 3, 9, 14, 7, 13, 11, 15): [[383, 544], [474, 479], [689, 901], [138, 484]]
(0, 4, 8, 12, 1, 5, 9, 13, 2, 6, 10, 14, 3, 7, 11, 15): [[929, 568], [334, 40], [155, 541], [291, 255]]
(0, 2, 1, 8, 3, 4, 10, 9, 6, 5, 11, 12, 7, 14, 13, 15): [[80, 84], [374, 511], [220, 95], [655, 356]]
(0, 8, 2, 10, 4, 12, 6, 14, 1, 9, 3, 11, 5, 13, 7, 15): [[950, 42], [929, 956], [859, 691], [225, 744]]
(0, 1, 4, 8, 5, 9, 12, 13, 2, 3, 6, 10, 7, 11, 14, 15): [[626, 92], [185, 20], [67, 421], [832, 84]]
(0, 8, 2, 10, 1, 9, 3, 11, 4, 12, 6, 14, 5, 13, 7, 15): [[516, 75], [11, 684], [435, 722], [103, 346]]
(0, 4, 1, 8, 2, 5, 12, 9, 6, 3, 10, 13, 7, 14, 11, 15): [[537, 964], [448, 309], [218, 529], [460, 484]]
(0, 2, 8, 1, 4, 10, 3, 6, 9, 12, 5, 11, 14, 7, 13, 15): [[420, 202], [944, 545], [647, 219], [961, 475]]
(0, 8, 4, 2, 1, 12, 10, 6, 9, 5, 3, 14, 13, 11, 7, 15): [[834, 928], [486, 726], [254, 414], [297, 764]]
(0, 2, 1, 3, 8, 10, 9, 11, 4, 6, 5, 7, 12, 14, 13, 15): [[726, 438], [104, 967], [455, 35], [609, 213]]
(0, 2, 1, 3, 4, 6, 5, 7, 8, 10, 9, 11, 12, 14, 13, 15): [[157, 862], [273, 428], [479, 40], [234, 230]]
(0, 2, 8, 10, 4, 6, 12, 1, 14, 3, 9, 11, 5, 7, 13, 15): [[882, 963], [141, 501], [161, 95], [55, 582]]
(0, 8, 1, 9, 2, 10, 3, 11, 4, 12, 5, 13, 6, 14, 7, 15): [[758, 83], [173, 929], [340, 955], [662, 221]]
(0, 8, 2, 4, 1, 10, 12, 6, 9, 3, 5, 14, 11, 13, 7, 15): [[714, 750], [701, 876], [771, 862], [274, 611]]
(0, 8, 2, 10, 4, 12, 1, 9, 6, 14, 3, 11, 5, 13, 7, 15): [[593, 3], [359, 751], [549, 427], [153, 600]]
(0, 8, 4, 12, 1, 9, 5, 13, 2, 10, 6, 14, 3, 11, 7, 15): [[865, 369], [637, 551], [86, 656], [303, 570]]
(0, 8, 4, 2, 12, 10, 6, 1, 14, 9, 5, 3, 13, 11, 7, 15): [[283, 222], [225, 320], [193, 360], [80, 661]]
(0, 4, 8, 12, 2, 6, 10, 14, 1, 5, 9, 13, 3, 7, 11, 15): [[472, 99], [241, 41], [700, 400], [249, 667]]
(0, 4, 8, 1, 12, 5, 9, 13, 2, 6, 10, 3, 14, 7, 11, 15): [[241, 293], [871, 124], [78, 856], [357, 522]]
(0, 8, 2, 4, 10, 12, 6, 1, 14, 9, 3, 5, 11, 13, 7, 15): [[43, 28], [286, 408], [609, 698], [140, 869]]
(0, 1, 4, 5, 8, 9, 12, 13, 2, 3, 6, 7, 10, 11, 14, 15): [[984, 700], [430, 92], [237, 407], [693, 83]]
(0, 8, 4, 12, 1, 9, 2, 10, 5, 13, 6, 14, 3, 11, 7, 15): [[946, 50], [919, 767], [57, 583], [130, 717]]
(0, 2, 8, 10, 4, 6, 12, 14, 1, 3, 9, 11, 5, 7, 13, 15): [[857, 129], [442, 150], [931, 71], [497, 758]]
(0, 8, 4, 2, 1, 12, 10, 9, 6, 5, 3, 14, 13, 11, 7, 15): [[729, 370], [553, 452], [558, 604], [476, 692]]
(0, 2, 4, 6, 1, 3, 8, 5, 10, 7, 12, 14, 9, 11, 13, 15): [[78, 395], [988, 606], [474, 144], [307, 992]]
(0, 2, 4, 6, 1, 3, 5, 7, 8, 10, 12, 14, 9, 11, 13, 15): [[13, 177], [630, 759], [487, 103], [526, 881]]
(0, 2, 8, 4, 1, 10, 6, 12, 3, 9, 5, 14, 11, 7, 13, 15): [[552, 576], [358, 564], [976, 967], [387, 996]]
(0, 8, 2, 1, 4, 10, 9, 12, 3, 6, 5, 11, 14, 13, 7, 15): [[776, 327], [757, 874], [859, 583], [973, 852]]
(0, 8, 4, 12, 2, 10, 1, 9, 6, 14, 5, 13, 3, 11, 7, 15): [[730, 5], [200, 50], [330, 141], [808, 384]]
(0, 2, 4, 6, 8, 10, 1, 3, 12, 14, 5, 7, 9, 11, 13, 15): [[460, 257], [752, 205], [892, 94], [633, 458]]
(0, 2, 4, 6, 8, 1, 10, 3, 12, 5, 14, 7, 9, 11, 13, 15): [[700, 967], [672, 243], [912, 21], [680, 942]]
(0, 1, 2, 4, 3, 5, 6, 7, 8, 9, 10, 12, 11, 13, 14, 15): [[129, 740], [733, 964], [745, 632], [618, 256]]
(0, 8, 2, 10, 4, 12, 6, 1, 14, 9, 3, 11, 5, 13, 7, 15): [[814, 132], [123, 154], [470, 130], [301, 589]]
(0, 1, 8, 9, 4, 5, 2, 3, 12, 13, 10, 11, 6, 7, 14, 15): [[857, 401], [406, 496], [220, 312], [605, 43]]
(0, 4, 1, 8, 5, 12, 2, 6, 9, 13, 3, 10, 7, 14, 11, 15): [[858, 949], [620, 134], [479, 792], [644, 701]]
(0, 8, 4, 2, 12, 10, 1, 6, 9, 14, 5, 3, 13, 11, 7, 15): [[759, 155], [458, 524], [591, 742], [87, 283]]
(0, 1, 4, 8, 5, 9, 2, 3, 12, 13, 6, 10, 7, 11, 14, 15): [[646, 533], [529, 297], [156, 189], [690, 128]]
(0, 4, 1, 8, 5, 12, 9, 13, 2, 6, 3, 10, 7, 14, 11, 15): [[716, 830], [783, 296], [3, 486], [494, 374]]
(0, 4, 8, 1, 12, 5, 2, 6, 9, 13, 10, 3, 14, 7, 11, 15): [[386, 581], [724, 53], [43, 115], [501, 777]]
